"year","month","monthly"
1980,1,15.9112903225806
1980,2,14.5625
1980,3,19.8225806451613
1980,4,21.8583333333333
1980,5,24.0806451612903
1980,6,26.5166666666667
1980,7,27.9112903225806
1980,8,27.9032258064516
1980,9,26.8666666666667
1980,10,24.25
1980,11,21.1666666666667
1980,12,15.1854838709677
1981,1,11.2177419354839
1981,2,16.6785714285714
1981,3,17.4112903225806
1981,4,23.025
1981,5,24.6209677419355
1981,6,27.8416666666667
1981,7,28.0161290322581
1981,8,27.4112903225806
1981,9,26.4416666666667
1981,10,24.4838709677419
1981,11,18.5166666666667
1981,12,16.1612903225806
1982,1,16.4354838709677
1982,2,20.6071428571429
1982,3,21.2338709677419
1982,4,23.1916666666667
1982,5,23.491935483871
1982,6,26.9833333333333
1982,7,27.4435483870968
1982,8,27.4758064516129
1982,9,26.3083333333333
1982,10,23.4193548387097
1982,11,21.4666666666667
1982,12,19.508064516129
1983,1,14.9838709677419
1983,2,16.1607142857143
1983,3,17.4838709677419
1983,4,20.15
1983,5,24.0161290322581
1983,6,26.4333333333333
1983,7,27.6451612903226
1983,8,27.7338709677419
1983,9,26.6166666666667
1983,10,24.6370967741935
1983,11,19.6583333333333
1983,12,18.1048387096774
1984,1,15.6935483870968
1984,2,17.0803571428571
1984,3,18.8145161290323
1984,4,20.425
1984,5,24.5564516129032
1984,6,25.4916666666667
1984,7,26.8145161290323
1984,8,27.3629032258065
1984,9,26.1
1984,10,23.9516129032258
1984,11,19.8333333333333
1984,12,18.8306451612903
1985,1,13.4596774193548
1985,2,17.3214285714286
1985,3,20.3225806451613
1985,4,21.5083333333333
1985,5,24.7983870967742
1985,6,27.675
1985,7,27.0645161290323
1985,8,27.6532258064516
1985,9,26.4166666666667
1985,10,25.7661290322581
1985,11,22.425
1985,12,15.9193548387097
1986,1,15.6774193548387
1986,2,18.625
1986,3,18.5645161290323
1986,4,19.9166666666667
1986,5,24.3225806451613
1986,6,26.7083333333333
1986,7,27.3225806451613
1986,8,27.4677419354839
1986,9,27.1833333333333
1986,10,24.9758064516129
1986,11,24.3666666666667
1986,12,20.1209677419355
1987,1,15.6290322580645
1987,2,17.3928571428571
1987,3,19.5322580645161
1987,4,18.5
1987,5,24.3145161290323
1987,6,27.2916666666667
1987,7,27.8225806451613
1987,8,28.2096774193548
1987,9,27.25
1987,10,22.258064516129
1987,11,20.9416666666667
1987,12,17.7983870967742
1988,1,15.5725806451613
1988,2,16.4375
1988,3,18.1612903225806
1988,4,21.6
1988,5,23.3145161290323
1988,6,26.275
1988,7,27.1854838709677
1988,8,27.4435483870968
1988,9,27.4583333333333
1988,10,23.0564516129032
1988,11,21.8833333333333
1988,12,17.1370967741935
1989,1,19.3548387096774
1989,2,18.25
1989,3,20.7096774193548
1989,4,22.2083333333333
1989,5,24.9435483870968
1989,6,27.075
1989,7,27.5967741935484
1989,8,27.7258064516129
1989,9,27.5333333333333
1989,10,24.1290322580645
1989,11,21.1083333333333
1989,12,13.9435483870968
1990,1,19.4112903225806
1990,2,20.9196428571429
1990,3,20.7258064516129
1990,4,22.1583333333333
1990,5,26.1532258064516
1990,6,27.0916666666667
1990,7,27.6854838709677
1990,8,27.9032258064516
1990,9,27.2916666666667
1990,10,24.8467741935484
1990,11,21.0916666666667
